league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2627,Brighton,Michael Svoboda,1,2026,220,9887,S,1,3,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Brighton,Olivier Boscagli,1,2026,220,3645,D M,5,439,0,0.06714325677603483,0,0.06714325677603483,0,0.8254270441830158,3,7,1,0,2.4040823578834534,2.2747845500707626
ENG-Premier League,2627,Brighton,Pascal Groß,1,2026,220,239,M,5,450,3,1.7418897114694118,2,0.9807208627462387,3,2.327627532184124,10,15,2,0,3.7328393161296844,1.5181320905685425
ENG-Premier League,2627,Brighton,Pascal Struijk,1,2026,220,8717,D S,3,99,0,0.0785112977027893,0,0.0785112977027893,0,0.0,1,0,1,0,0.2597213611006737,0.2597213611006737
ENG-Premier League,2627,Brighton,Promise David,1,2026,220,14857,S,2,20,0,0.520228385925293,0,0.520228385925293,0,0.0,1,0,1,0,0.0,0.0
ENG-Premier League,2627,Brighton,Yasin Ayari,1,2026,220,11385,M,4,339,1,0.8801306933164597,1,0.8801306933164597,0,0.1378153059631586,10,3,1,0,1.9240527749061584,1.0653914846479893
ENG-Premier League,2627,Brighton,Zadok Yohanna,1,2026,220,14855,S,1,7,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3119710683822632,0.3119710683822632
ENG-Premier League,2627,Chelsea,Cole Palmer,1,2026,80,8497,M,5,445,2,1.8209411725401878,2,1.8209411725401878,2,1.8364662174135447,17,11,1,0,4.83687661588192,1.6125021167099476
ENG-Premier League,2627,Chelsea,Danny Welbeck,1,2026,80,501,F S,3,83,0,0.0,0,0.0,0,0.20335248857736588,0,3,0,0,0.47429971396923065,0.2709472179412842
ENG-Premier League,2627,Chelsea,Emiliano Martinez,1,2026,80,4401,GK,4,360,0,0.0,0,0.0,0,0.26921070739626884,0,3,0,0,0.6718895025551319,0.4026787802577019
ENG-Premier League,2627,Chelsea,Enzo Fernández,1,2026,80,11356,M S,4,274,1,0.3784715570509434,1,0.3784715570509434,0,0.6221392452716827,5,4,1,0,2.3471796959638596,1.8740161061286926
ENG-Premier League,2627,Chelsea,Estêvão,1,2026,80,13775,S,4,14,0,0.1030909139662981,0,0.1030909139662981,0,0.0,2,0,0,0,0.19624613225460052,0.09315522015094757
ENG-Premier League,2627,Chelsea,Geovany Quenda,1,2026,80,14923,S,2,24,0,0.03159583359956741,0,0.03159583359956741,0,0.0,1,0,0,0,0.0,0.0
ENG-Premier League,2627,Chelsea,Jordan Henderson,1,2026,80,605,M,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.05047351494431496,0.05047351494431496
ENG-Premier League,2627,Chelsea,Jorrel Hato,1,2026,80,13776,D,4,269,0,0.034903109073638916,0,0.034903109073638916,2,1.2096408493816853,1,4,0,0,1.940410055220127,1.8537863865494728
ENG-Premier League,2627,Chelsea,Josh Acheampong,1,2026,80,12535,D S,4,218,0,0.0,0,0.0,0,0.0,0,0,0,0,1.043536651879549,1.043536651879549
ENG-Premier League,2627,Chelsea,João Pedro,1,2026,80,8272,F,4,360,3,2.517409959807992,3,2.517409959807992,3,0.7439739257097244,11,7,1,0,4.1094639003276825,0.9801533166319132
ENG-Premier League,2627,Chelsea,Levi Colwill,1,2026,80,10805,D,4,344,0,0.046287089586257935,0,0.046287089586257935,0,0.013180774636566639,1,1,1,0,1.5919955968856812,1.5325277224183083
ENG-Premier League,2627,Chelsea,Mahdi Nicoll-Jazuli,1,2026,80,15091,S,1,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Chelsea,Malo Gusto,1,2026,80,9017,D M S,4,274,0,0.0633799321949482,0,0.0633799321949482,0,0.032199397683143616,2,1,0,0,1.386716928333044,1.3162947297096252
ENG-Premier League,2627,Chelsea,Maxence Lacroix,1,2026,80,8853,D S,5,362,0,0.3009853521361947,0,0.3009853521361947,1,0.4455546438694,2,1,1,0,1.8460345640778542,1.8460345640778542
ENG-Premier League,2627,Chelsea,Moisés Caicedo,1,2026,80,9453,S,1,14,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Chelsea,Morgan Rogers,1,2026,80,12412,M,5,444,3,1.4361898303031921,3,1.4361898303031921,1,1.80231461673975,15,11,1,0,4.165929287672043,1.1771483309566975
ENG-Premier League,2627,Chelsea,Pedro Neto,1,2026,80,6382,D M S,5,343,1,1.065810576081276,1,1.065810576081276,0,0.7570094503462315,7,5,0,0,1.7371716722846031,0.609008364379406
ENG-Premier League,2627,Chelsea,Pep Chavarría,1,2026,80,11087,D S,5,197,0,0.029501985758543015,0,0.029501985758543015,0,0.06905877590179443,1,2,0,0,0.7497057188302279,0.6511449608951807
ENG-Premier League,2627,Chelsea,Reece James,1,2026,80,8067,M S,4,290,0,0.2511844299733639,0,0.2511844299733639,0,0.05116630531847477,8,2,1,0,1.1988796144723892,1.0695355460047722
ENG-Premier League,2627,Chelsea,Robert Sánchez,1,2026,80,9098,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.280918151140213,0.280918151140213
ENG-Premier League,2627,Chelsea,Romeo Lavia,1,2026,80,10004,M,4,273,1,1.2299621105194092,1,1.2299621105194092,0,0.17657209932804108,2,2,1,0,1.7416341751813889,1.671058401465416
ENG-Premier League,2627,Chelsea,Valentín Barco,1,2026,80,12498,M S,3,112,0,0.1294342540204525,0,0.1294342540204525,0,0.0,2,0,1,0,0.14786021411418915,0.07340063899755478
ENG-Premier League,2627,Chelsea,Wesley Fofana,1,2026,80,7589,D,4,320,0,0.0,0,0.0,0,0.028139306232333183,0,2,1,0,0.9663230217993259,0.9529836513102055
ENG-Premier League,2627,Coventry,Aurèle Amenda,1,2026,294,12955,D,4,360,0,0.01105454657226801,0,0.01105454657226801,0,0.07092874497175217,1,1,1,0,0.8940168619155884,0.8120335824787617
ENG-Premier League,2627,Coventry,Bobby Thomas,1,2026,294,8483,D,5,440,0,0.2913232855498791,0,0.2913232855498791,0,0.5729330964386463,10,4,0,0,1.4396229647099972,0.8415733277797699
ENG-Premier League,2627,Coventry,Brandon Thomas-Asante,1,2026,294,14745,F M S,5,226,0,0.25695372372865677,0,0.25695372372865677,0,0.0,5,0,0,0,0.2781979590654373,0.09541922062635422
ENG-Premier League,2627,Coventry,Caleb Yirenkyi,1,2026,294,14744,D M S,5,269,0,0.029757032170891762,0,0.029757032170891762,0,0.1697358787059784,1,3,1,0,0.9969564564526081,0.8272206038236618
ENG-Premier League,2627,Coventry,Carl Rushworth,1,2026,294,12760,GK,5,450,0,0.0,0,0.0,1,0.2845446765422821,0,1,0,0,0.5765660218894482,0.29202134907245636
ENG-Premier League,2627,Coventry,Ellis Simms,1,2026,294,8582,F S,3,105,0,0.48840323090553284,0,0.48840323090553284,0,0.02323154080659151,1,2,0,0,0.5116347707808018,0.0
ENG-Premier League,2627,Coventry,Ephron Mason-Clark,1,2026,294,14981,M,4,240,0,0.32712817564606667,0,0.32712817564606667,0,0.18387008644640446,4,4,0,0,0.6489716582000256,0.13797338400036097
ENG-Premier League,2627,Coventry,Ethan Pinnock,1,2026,294,9678,D S,4,280,0,0.08637979440391064,0,0.08637979440391064,0,0.0,2,0,1,0,0.3888557553291321,0.3888557553291321
ENG-Premier League,2627,Coventry,Frank Onyeka,1,2026,294,9681,M,4,318,0,0.04409420117735863,0,0.04409420117735863,0,0.0,1,0,0,0,0.06170129403471947,0.06170129403471947
ENG-Premier League,2627,Coventry,Gustavo Hamer,1,2026,294,11839,S,3,27,0,0.0,0,0.0,0,0.0,0,0,0,0,0.09541922062635422,0.09541922062635422
ENG-Premier League,2627,Coventry,Jack Rudoni,1,2026,294,14747,M S,5,304,0,1.4225774444639683,0,1.4225774444639683,0,0.5934824347496033,6,9,0,0,2.0426415354013443,0.3191619776189327
ENG-Premier League,2627,Coventry,Jay Dasilva,1,2026,294,14743,D,5,446,1,0.3974166736006737,1,0.3974166736006737,0,0.4225407615303993,3,4,0,0,1.1955077983438969,0.5152910724282265
ENG-Premier League,2627,Coventry,Joel Latibeaudiere,1,2026,294,14748,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Coventry,Loum Tchaouna,1,2026,294,9977,M S,4,214,0,0.2081379685550928,0,0.2081379685550928,0,0.1702721044421196,6,3,0,0,0.5795920044183731,0.35506126284599304
ENG-Premier League,2627,Coventry,Matt Grimes,1,2026,294,1045,M,5,445,0,0.08464585710316896,0,0.08464585710316896,0,0.08522953931242228,4,2,0,0,1.0247676679864526,0.9540700241923332
